Abu Dhabi|AE|24.4538352,54.3774014
Novosibirsk|RU|55.0282171,82.9234509
Oslo|NO|59.9133301,10.7389701
Ottawa|CA|45.4208777,-75.6901106
Palermo|IT|38.1112268,13.3524434
Paris|FR|48.8588897,2.3200410217200766
Philadelphia|US|39.9527237,-75.1635262
Pittsburgh|US|40.4416941,-79.9900861
Portland|US|45.5202471,-122.674194
Prague|CZ|50.0874654,14.4212535
Pune|IN|18.521428,73.8544541
Reykjavík|IS|64.145981,-21.9422367
Riga|LV|56.9493977,24.1051846
Rio de Janeiro|BR|-22.9110137,-43.2093727
Rome|IT|41.8933203,12.4829321
Saint Petersburg|RU|59.938732,30.316229
Salt Lake City|US|40.7596198,-111.8867975
San Diego|US|32.7174202,-117.1627728
San Francisco|US|37.7790262,-122.419906
San José|CR|9.9325427,-84.0795782
Santa Barbara|US|34.4221319,-119.702667
Santiago|CL|-33.4377756,-70.6504502
Sanya|CN|18.2534658,109.5034392
Sapporo|JP|43.061936,141.3542924
Sarajevo|BA|43.8519774,18.3866868
Seattle|US|47.6038321,-122.330062
Seoul|KR|37.5666791,126.9782914
Shanghai|CN|31.2322758,121.4692071
Shenyang|CN|41.6749893,123.458674
Shenzhen|CN|22.5445741,114.0545429
Singapore|SG|1.2899175,103.8519072
Sofia|BG|42.6977028,23.3217359
Stockholm|SE|59.3251172,18.0710935
Sydney|AU|-33.8698439,151.2082848
São Paulo|BR|-23.5506507,-46.6333824
Taipei|TW|25.0375198,121.5636796
Tallinn|EE|59.4372155,24.7453688
Tbilisi|GE|41.6934591,44.8014495
Tehran|IR|35.6892523,51.3896004
Tianjin|CN|39.0856735,117.1951073
Tirana|AL|41.3305141,19.825562857582966
Tokyo|JP|35.6828387,139.7594549
Toronto|CA|43.6534817,-79.3839347
Tunis|TN|36.8002068,10.1857757
Ulaanbaatar|MN|47.9184676,106.9177016
Vancouver|CA|49.2608724,-123.113952
Venice|IT|45.4371908,12.3345898
Vienna|AT|48.2083537,16.3725042
Vientiane|LA|17.9640988,102.6133707
Vilnius|LT|54.6870458,25.2829111
Warsaw|PL|52.2319581,21.0067249
Winnipeg|CA|49.8955367,-97.1384584
Wuhan|CN|30.5951051,114.2999353
Yekaterinburg|RU|56.839104,60.60825
Yerevan|AM|40.1776245,44.5126174
Zagreb|HR|45.84264135,15.962231476593626
